,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
2410,737137,Rangpo_Majitar_I (Sikkim),Rangpo_Majitar_I (Sikkim),Rangpo_Majitar_I (Sikkim),Rangpo,Sikkim,True
2411,306116,Falna_ShastriNagar_D (Rajasthan),Falna_ShastriNagar_D (Rajasthan),Falna_ShastriNagar_D (Rajasthan),Falna,Rajasthan,True
2412,521163,Vijayawada_Gudavalli_H (Andhra Pradesh),Vijayawada_Gudavalli_H (Andhra Pradesh),Vijayawada_Gudavalli_H (Andhra Pradesh),Vijayawada,Andhra Pradesh,True
2413,695033,Trivandrum_Chelamangalm_L (Kerala),Trivandrum_Chelamangalm_L (Kerala),Trivandrum_Chelamangalm_L (Kerala),Thiruvananthapuram,Kerala,False
2414,410509,Junnar_KalyanPeth_D (Maharashtra),Junnar_KalyanPeth_D (Maharashtra),Junnar_KalyanPeth_D (Maharashtra),Junnar,Maharashtra,True
2415,481882,Dindori_Gadasarai_D (Madhya Pradesh),Dindori_Gadasarai_D (Madhya Pradesh),Dindori_Gadasarai_D (Madhya Pradesh),Dindori,Madhya Pradesh,False
2416,363755,Viramgam_Dasada2_D (Gujarat),Viramgam_Dasada2_D (Gujarat),Viramgam_Dasada2_D (Gujarat),Viramgam,Gujarat,
2417,416012,Kolhapur_HupariRd_H (Maharashtra),Kolhapur_HupariRd_H (Maharashtra),Kolhapur_HupariRd_H (Maharashtra),Kolhapur,Maharashtra,False
2418,413543,Pune_PandurangIndArea_L (Maharashtra),Pune_PandurangIndArea_L (Maharashtra),Pune_PandurangIndArea_L (Maharashtra),Pune,Maharashtra,
2419,631203,Chennai_Sriperumbudur_GW (Tamil Nadu),Chennai_Sriperumbudur_GW (Tamil Nadu),Chennai_Sriperumbudur_GW (Tamil Nadu),Sriperumbudur,Tamil Nadu,True
2420,465223,Shujalpur_JNSCollege_D (Madhya Pradesh),Shujalpur_JNSCollege_D (Madhya Pradesh),Shujalpur_JNSCollege_D (Madhya Pradesh),Shujalpur,Madhya Pradesh,True
2421,854316,Forbesganj_Sonapur_D (Bihar),Forbesganj_Sonapur_D (Bihar),Forbesganj_Sonapur_D (Bihar),Forbesganj,Bihar,True
2422,623528,Muthukulathur_Selvanygprm_D (Tamil Nadu),Muthukulathur_Selvanygprm_D (Tamil Nadu),Muthukulathur_Selvanygprm_D (Tamil Nadu),Muthukulathur,Tamil Nadu,True
2423,786012,Dibrugarh_Mohanbari_H (Assam),Dibrugarh_Mohanbari_H (Assam),Dibrugarh_Mohanbari_H (Assam),Dibrugarh,Assam,True
2424,212204,Bharwari_Sirathu_DPP (Uttar Pradesh),Bharwari_Sirathu_DPP (Uttar Pradesh),Bharwari_Sirathu_DPP (Uttar Pradesh),Bharwari,Uttar Pradesh,True
2425,835227,Khunti_Gobindpur_D (Jharkhand),Khunti_Gobindpur_D (Jharkhand),Khunti_Gobindpur_D (Jharkhand),Khunti,Jharkhand,True
2426,425312,Bhusawal_Kanhala_D (Maharashtra),Bhusawal_Kanhala_D (Maharashtra),Bhusawal_Kanhala_D (Maharashtra),Bhusawal,Maharashtra,True
2427,756100,Bhadrak_Mathasahi_I (Orissa),Bhadrak_Mathasahi_I (Orissa),Bhadrak_Mathasahi_I (Orissa),Bhadrak,Orissa,True
2428,757048,Rairangpur_Sanchampauda_D (Orissa),Rairangpur_Sanchampauda_D (Orissa),Rairangpur_Sanchampauda_D (Orissa),Rairangpur,Orissa,True
2429,303803,Chomu_SamodRd_D (Rajasthan),Chomu_SamodRd_D (Rajasthan),Chomu_SamodRd_D (Rajasthan),Chomu,Rajasthan,False
2430,533503,Rajahmundry_Rajanagaram_H (Andhra Pradesh),Rajahmundry_Rajanagaram_H (Andhra Pradesh),Rajahmundry_Rajanagaram_H (Andhra Pradesh),Rajahmundry,Andhra Pradesh,True
2431,421032,Mumbai_Kalachowki_L (Maharashtra),Mumbai_Kalachowki_L (Maharashtra),Mumbai_Kalachowki_L (Maharashtra),Mumbai,Maharashtra,False
2432,767033,Titilagarh_Saragiguda_DPP (Orissa),Titilagarh_Saragiguda_DPP (Orissa),Titilagarh_Saragiguda_DPP (Orissa),Titilagarh,Orissa,True
2433,678546,Nenmara_Vadakkencherry_D (Kerala),Nenmara_Vadakkencherry_D (Kerala),Nenmara_Vadakkencherry_D (Kerala),Nenmara,Kerala,True
2434,670708,Kannur_Koodali_H (Kerala),Kannur_Koodali_H (Kerala),Kannur_Koodali_H (Kerala),Kannur,Kerala,True
2435,262906,Nighasan_BelrayanRd1_D (Uttar Pradesh),Nighasan_BelrayanRd1_D (Uttar Pradesh),Nighasan_BelrayanRd1_D (Uttar Pradesh),Nighasan,Uttar Pradesh,True
2436,382160,Viramgam_PopatChokdi_D (Gujarat),Viramgam_PopatChokdi_D (Gujarat),Viramgam_PopatChokdi_D (Gujarat),Viramgam,Gujarat,True
2437,503224,Armoor_Kotarmoor_D (Telangana),Armoor_Kotarmoor_D (Telangana),Armoor_Kotarmoor_D (Telangana),Armoor,Telangana,True
2438,152122,Abohar_DaulatPura1_D (Punjab),Abohar_DaulatPura1_D (Punjab),Abohar_DaulatPura1_D (Punjab),Abohar,Punjab,True
2439,691512,Kollam_Kilikollur_H (Kerala),Kollam_Kilikollur_H (Kerala),Kollam_Kilikollur_H (Kerala),Kollam,Kerala,True
2440,800018,Patna_PhulwariSharif_L (Bihar),Patna_Janarjanpur_H (Bihar),Patna_PhulwariSharif_L (Bihar),Patna,Bihar,False
2441,184121,Jammu_Baribrahmana_H (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),Jammu,Jammu & Kashmir,True
2442,141012,Ludhiana_Barmalipur_H (Punjab),Ludhiana_Barmalipur_H (Punjab),Ludhiana_Barmalipur_H (Punjab),Ludhiana,Punjab,False
2443,521182,Nandigama_Mukkapatinagar_D (Andhra Pradesh),Nandigama_Mukkapatinagar_D (Andhra Pradesh),Nandigama_Mukkapatinagar_D (Andhra Pradesh),Nandigama,Andhra Pradesh,True
2444,797005,Kohima_AGColony_D (Nagaland),Kohima_AGColony_D (Nagaland),Kohima_AGColony_D (Nagaland),Kohima,Nagaland,False
2445,192305,Anantnag_Bijbehara_D (Jammu & Kashmir),Anantnag_Bijbehara_D (Jammu & Kashmir),Anantnag_Bijbehara_D (Jammu & Kashmir),Anantnag,Jammu & Kashmir,False
2446,562106,Bangalore_Bommasandra_L (Karnataka),Bangalore_Bommasandra_L (Karnataka),Bangalore_Bommasandra_L (Karnataka),Bangalore,Karnataka,False
2447,767070,Saintala_Blockroad_DPP (Orissa),Saintala_Blockroad_DPP (Orissa),Saintala_Blockroad_DPP (Orissa),Saintala,Orissa,True
2448,505474,Huzurabad_Vivekanandanagar_D (Telangana),Huzurabad_Vivekanandanagar_D (Telangana),Huzurabad_Vivekanandanagar_D (Telangana),Huzurabad,Telangana,True
2449,841424,Mashrakh_Benchapra_D (Bihar),Mashrakh_Benchapra_D (Bihar),Mashrakh_Benchapra_D (Bihar),Mashrakh,Bihar,True
2450,222101,Shahganj_RudhauliKalan_D (Uttar Pradesh),Shahganj_RudhauliKalan_D (Uttar Pradesh),Shahganj_RudhauliKalan_D (Uttar Pradesh),Shahganj,Uttar Pradesh,True
2451,144010,Jalandhar_QajiMandi_P (Punjab),Jalandhar_QajiMandi_P (Punjab),Jalandhar_QajiMandi_P (Punjab),Jalandhar,Punjab,False
2452,756003,Balasore_Ganeswarpur_I (Orissa),Balasore_Ganeswarpur_I (Orissa),Balasore_Ganeswarpur_I (Orissa),Balasore,Orissa,False
2453,504110,Nirmal_AdarshNgr_D (Telangana),Nirmal_AdarshNgr_D (Telangana),Nirmal_AdarshNgr_D (Telangana),Nirmal,Telangana,True
2454,577571,Chitradurga_Basaveshwar_D (Karnataka),Chitradurga_Basaveshwar_D (Karnataka),Chitradurga_Basaveshwar_D (Karnataka),Chitradurga,Karnataka,True
2455,521106,HanumanJn_Appanaveedu_D (Andhra Pradesh),HanumanJn_Appanaveedu_D (Andhra Pradesh),HanumanJn_Appanaveedu_D (Andhra Pradesh),Pedapadu,Andhra Pradesh,True
2456,627108,Vallioor_RamakrishnPurm_D (Tamil Nadu),Vallioor_RamakrishnPurm_D (Tamil Nadu),Vallioor_RamakrishnPurm_D (Tamil Nadu),Vallioor,Tamil Nadu,True
2457,614806,Thiruvarur_Thiruthuraipoondi_D (Tamil Nadu),Thiruvarur_Thiruthuraipoondi_D (Tamil Nadu),Thiruvarur_Thiruthuraipoondi_D (Tamil Nadu),Thiruthuraipoondi,Tamil Nadu,True
2458,676525,Pandikkad_Thangalpadi_D (Kerala),Pandikkad_Thangalpadi_D (Kerala),Pandikkad_Thangalpadi_D (Kerala),Pandikkad,Kerala,True
2459,394541,Surat_GIDC1_P (Gujarat),Surat_Kacholi_GW (Gujarat),Surat_GIDC1_P (Gujarat),Surat,Gujarat,True
2460,685590,Thodupuzha_MtSinaiRd_D (Kerala),Thodupuzha_MtSinaiRd_D (Kerala),Thodupuzha_MtSinaiRd_D (Kerala),Thodupuzha,Kerala,True
2461,476134,Morena_Ambah_D (Madhya Pradesh),Morena_Ambah_D (Madhya Pradesh),Morena_Ambah_D (Madhya Pradesh),Morena,Madhya Pradesh,True
2462,622005,Pudukkottai_NainarClny_D (Tamil Nadu),Pudukkottai_NainarClny_D (Tamil Nadu),Pudukkottai_NainarClny_D (Tamil Nadu),Pudukkottai,Tamil Nadu,True
2463,425308,Bhusawal_Kanhala_D (Maharashtra),Bhusawal_Kanhala_D (Maharashtra),Bhusawal_Kanhala_D (Maharashtra),Bhusawal,Maharashtra,True
2464,689644,Kozhenchery_Melukara_D (Kerala),Kozhenchery_Melukara_D (Kerala),Kozhenchery_Melukara_D (Kerala),Kozhenchery,Kerala,True
2465,382875,Vijapur_Anandpurachokdi_D (Gujarat),Vijapur_Anandpurachokdi_D (Gujarat),Vijapur_Anandpurachokdi_D (Gujarat),Vijapur,Gujarat,False
2466,827010,Bokaro_Chas_D (Jharkhand),Bokaro_Chas_D (Jharkhand),Bokaro_Chas_D (Jharkhand),Bokaro,Jharkhand,False
2467,431525,Vasmat_Khajipura_D (Maharashtra),Vasmat_Khajipura_D (Maharashtra),Vasmat_Khajipura_D (Maharashtra),Vasmat,Maharashtra,True
2468,444511,Akola_Patur_DPP (Maharashtra),Akola_Patur_DPP (Maharashtra),Akola_Patur_DPP (Maharashtra),Akola,Maharashtra,False
2469,798613,Longleng_Changtongya_DPP (Nagaland),Longleng_Changtongya_DPP (Nagaland),Longleng_Changtongya_DPP (Nagaland),Longleng,Nagaland,False
2470,209204,Kanpur_Kataraghan_H (Uttar Pradesh),Kanpur_Kataraghan_H (Uttar Pradesh),Kanpur_Kataraghan_H (Uttar Pradesh),Kanpur,Uttar Pradesh,True
2471,533226,Narasaraopet_SBalajiNgr_D (Andhra Pradesh),Narasaraopet_SBalajiNgr_D (Andhra Pradesh),Narasaraopet_SBalajiNgr_D (Andhra Pradesh),Narasaraopet,Andhra Pradesh,True
2472,431741,Aurad_CBColony_D (Karnataka),Aurad_CBColony_D (Karnataka),Aurad_CBColony_D (Karnataka),Aurad,Karnataka,False
2473,686575,Kottayam_Ettumanoor_H (Kerala),Kottayam_Ettumanoor_H (Kerala),Kottayam_Ettumanoor_H (Kerala),Kottayam,Kerala,False
2474,799012,Agartala_UttarChampamura_I (Tripura),NSZ,Agartala_UttarChampamura_I (Tripura),Agartala,Tripura,False
2475,416138,Ichalkaranji_TmbeMala_D (Maharashtra),Ichalkaranji_TmbeMala_D (Maharashtra),Ichalkaranji_TmbeMala_D (Maharashtra),Ichalkaranji,Maharashtra,False
2476,522314,Guntur_Gajulapalem_D (Andhra Pradesh),Guntur_Gajulapalem_D (Andhra Pradesh),Guntur_Gajulapalem_D (Andhra Pradesh),Guntur,Andhra Pradesh,True
2477,847102,Benipatti_Ward15_D (Bihar),Benipatti_Ward15_D (Bihar),Benipatti_Ward15_D (Bihar),Benipatti,Bihar,False
2478,678597,Karimba_Kaliyode_D (Kerala),Karimba_Kaliyode_D (Kerala),Karimba_Kaliyode_D (Kerala),Karimba,Kerala,True
2479,679311,Sankaramangalam_Pattithara_D (Kerala),Sankaramangalam_Pattithara_D (Kerala),Sankaramangalam_Pattithara_D (Kerala),Sankaramangalam,Kerala,False
2480,229410,LalganjAjhara_HPPump_D (Uttar Pradesh),LalganjAjhara_HPPump_D (Uttar Pradesh),LalganjAjhara_HPPump_D (Uttar Pradesh),Lalganj Ajhara,Uttar Pradesh,True
2481,473445,Mungaoli_BhadurpurRd_DPP (Madhya Pradesh),Mungaoli_BhadurpurRd_DPP (Madhya Pradesh),Mungaoli_BhadurpurRd_DPP (Madhya Pradesh),Mungaoli,Madhya Pradesh,True
2482,575004,Mangalore_Katipalla_H (Karnataka),Mangalore_Katipalla_H (Karnataka),Mangalore_Katipalla_H (Karnataka),Mangalore,Karnataka,False
2483,273006,Gorakhpur_Bhauwapar_H (Uttar Pradesh),Gorakhpur_Bhauwapar_H (Uttar Pradesh),Gorakhpur_Bhauwapar_H (Uttar Pradesh),Gorakhpur,Uttar Pradesh,False
2484,474009,Gwalior_Nayagaon_P (Madhya Pradesh),Gwalior_Nayagaon_P (Madhya Pradesh),Gwalior_Nayagaon_P (Madhya Pradesh),Gwalior,Madhya Pradesh,False
2485,673503,Vadakara_Orkkatteri_D (Kerala),Vadakara_Orkkatteri_D (Kerala),Vadakara_Orkkatteri_D (Kerala),Vadakara,Kerala,True
2486,245207,Hapur_Sanjaycolony_D (Uttar Pradesh),Hapur_Sanjaycolony_D (Uttar Pradesh),Hapur_Sanjaycolony_D (Uttar Pradesh),Hapur,Uttar Pradesh,True
2487,731218,Rampurhat_Suri_D (West Bengal),Rampurhat_Suri_D (West Bengal),Rampurhat_Suri_D (West Bengal),Rampurhat,West Bengal,True
2488,302033,Jaipur_SitapuraGoner_L (Rajasthan),Jaipur_SitapuraGoner_L (Rajasthan),Jaipur_SitapuraGoner_L (Rajasthan),Jaipur,Rajasthan,False
2489,803307,Sheonor_Moldiyar_D (Bihar),Sheonor_Moldiyar_D (Bihar),Sheonor_Moldiyar_D (Bihar),Sheonar,Bihar,False
2490,506301,Ghanpur_Palakrty_D (Telangana),Ghanpur_Palakrty_D (Telangana),Ghanpur_Palakrty_D (Telangana),Ghanpur,Telangana,True
2491,695587,Trivandrum_Chelamangalm_L (Kerala),Trivandrum_Chelamangalm_L (Kerala),Trivandrum_Chelamangalm_L (Kerala),Thiruvananthapuram,Kerala,False
2492,382855,Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad,Gujarat,False
2493,400048,Mumbai_AndheriEast_L (Maharashtra),Mumbai_AndheriEast_L (Maharashtra),Mumbai_AndheriEast_L (Maharashtra),Mumbai,Maharashtra,False
2494,721147,Midnapore_Harishpur_D (West Bengal),Midnapore_Harishpur_D (West Bengal),Midnapore_Harishpur_D (West Bengal),Midnapore,West Bengal,True
2495,202415,Moradabad_Fazalpur_P (Uttar Pradesh),Moradabad_Fazalpur_P (Uttar Pradesh),Moradabad_Fazalpur_P (Uttar Pradesh),Moradabad,Uttar Pradesh,True
2496,574323,Bantwal_BypassRoad_D (Karnataka),Bantwal_BypassRoad_D (Karnataka),Bantwal_BypassRoad_D (Karnataka),Bantwal,Karnataka,True
2497,585314,Aland_Sherikarcolony_D (Karnataka),Aland_Sherikarcolony_D (Karnataka),Aland_Sherikarcolony_D (Karnataka),Aland,Karnataka,True
2498,825132,Tisri_Satgawan_D (Jharkhand),Tisri_Satgawan_D (Jharkhand),Tisri_Satgawan_D (Jharkhand),Tisri,Jharkhand,False
2499,209863,Unnao_KulhaBagha_D (Uttar Pradesh),Unnao_KulhaBagha_D (Uttar Pradesh),Unnao_KulhaBagha_D (Uttar Pradesh),Unnao,Uttar Pradesh,True
2500,743223,Kolkata_Dopere_L (West Bengal),Kolkata_Dopere_L (West Bengal),Kolkata_Dopere_L (West Bengal),Kolkata,West Bengal,True
2501,206245,Etawah_Harsauli_D (Uttar Pradesh),Etawah_Harsauli_D (Uttar Pradesh),Etawah_Harsauli_D (Uttar Pradesh),Etawah,Uttar Pradesh,True
2502,571418,Nagamangala_Malenahalli_D (Karnataka),Nagamangala_Malenahalli_D (Karnataka),Nagamangala_Malenahalli_D (Karnataka),Nagamangala,Karnataka,True
2503,453446,Pithampur_AmbedkarNgr_L (Madhya Pradesh),Pithampur_AmbedkarNgr_L (Madhya Pradesh),Pithampur_AmbedkarNgr_L (Madhya Pradesh),Pithampur,Madhya Pradesh,True
2504,523224,Kanigiri_Tkriplm_D (Andhra Pradesh),Kanigiri_Tkriplm_D (Andhra Pradesh),Kanigiri_Tkriplm_D (Andhra Pradesh),Kanigiri,Andhra Pradesh,True
2505,122109,Gurgaon_Sector17_L (Haryana),Gurgaon_Sector17_L (Haryana),Gurgaon_Sector17_L (Haryana),Gurgaon,Haryana,False
2506,532216,Pathapatnam_Changudi_D (Andhra Pradesh),Pathapatnam_Changudi_D (Andhra Pradesh),Pathapatnam_Changudi_D (Andhra Pradesh),Pathapatnam,Andhra Pradesh,True
2507,422605,Sangamner_VitthalNagar_D (Maharashtra),Sangamner_VitthalNagar_D (Maharashtra),Sangamner_VitthalNagar_D (Maharashtra),Sangamner,Maharashtra,True
2508,754018,Adaspur_Kantapada_DPP (Orissa),Adaspur_Kantapada_DPP (Orissa),Adaspur_Kantapada_DPP (Orissa),Adaspur,Orissa,False
2509,370165,Rapar_MalichokRd_DPP (Gujarat),Rapar_MalichokRd_DPP (Gujarat),Rapar_MalichokRd_DPP (Gujarat),Rapar,Gujarat,True
2510,847222,Benipatti_Ward15_D (Bihar),Benipatti_Ward15_D (Bihar),Benipatti_Ward15_D (Bihar),Benipatti,Bihar,True
2511,416626,Malvan_Kumbharmath_D (Maharashtra),Malvan_Kumbharmath_D (Maharashtra),Malvan_Kumbharmath_D (Maharashtra),Malvan,Maharashtra,True
2512,829104,Phusro_SinghNagar_D (Jharkhand),Phusro_SinghNagar_D (Jharkhand),Phusro_SinghNagar_D (Jharkhand),Phusro,Jharkhand,True
2513,721448,Contai_Bankaberya_D (West Bengal),Contai_Bankaberya_D (West Bengal),Contai_Bankaberya_D (West Bengal),Contai,West Bengal,True
2514,591314,Chikodi_Prabhuwadi_D (Karnataka),Chikodi_Prabhuwadi_D (Karnataka),Chikodi_Prabhuwadi_D (Karnataka),Chikodi,Karnataka,True
2515,781309,Sarthebari_Tmlichp_D (Assam),Sarthebari_Tmlichp_D (Assam),Sarthebari_Tmlichp_D (Assam),Sarthebari,Assam,False
2516,383246,Bhiloda_NirSagarPlaza_D (Gujarat),Bhiloda_NirSagarPlaza_D (Gujarat),Bhiloda_NirSagarPlaza_D (Gujarat),Bhiloda,Gujarat,False
2517,523252,Podili_Ward2_D (Andhra Pradesh),Podili_Ward2_D (Andhra Pradesh),Podili_Ward2_D (Andhra Pradesh),Podili,Andhra Pradesh,True
2518,516349,Pulivendula_Venkatapurm_D (Andhra Pradesh),Pulivendula_Venkatapurm_D (Andhra Pradesh),Pulivendula_Venkatapurm_D (Andhra Pradesh),Pulivendula,Andhra Pradesh,True
2519,332718,Neemkathana_Chhawani_D (Rajasthan),Neemkathana_Chhawani_D (Rajasthan),Neemkathana_Chhawani_D (Rajasthan),Neem ka Thana,Rajasthan,True
2520,786183,Chabua_CollgeRD_D (Assam),Chabua_CollgeRD_D (Assam),Chabua_CollgeRD_D (Assam),Chabua,Assam,False
2521,680102,Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur,Kerala,False
2522,208039,Kanpur_NewTransportNgr_L (Uttar Pradesh),Kanpur_Kataraghan_H (Uttar Pradesh),Kanpur_NewTransportNgr_L (Uttar Pradesh),Kanpur,Uttar Pradesh,False
2523,600086,Chennai_KaveriNagar_L (Tamil Nadu),Chennai_KaveriNagar_L (Tamil Nadu),Chennai_KaveriNagar_L (Tamil Nadu),Chennai,Tamil Nadu,False
2524,413251,Karmala_BajiraoNagar_D (Maharashtra),Karmala_BajiraoNagar_D (Maharashtra),Karmala_BajiraoNagar_D (Maharashtra),Karmala,Maharashtra,True
2525,695564,Trivandrum_Chelamangalm_L (Kerala),Trivandrum_Chelamangalm_L (Kerala),Trivandrum_Chelamangalm_L (Kerala),Thiruvananthapuram,Kerala,False
2526,786126,Tinsukia_Nokhroygaon2_D (Assam),Tinsukia_Nokhroygaon2_D (Assam),Tinsukia_Nokhroygaon2_D (Assam),Tinsukia,Assam,False
2527,321417,Weir_Bhusawar_DPP (Rajasthan),Weir_Bhusawar_DPP (Rajasthan),Weir_Bhusawar_DPP (Rajasthan),Weir,Rajasthan,
2528,841410,Mashrakh_Benchapra_D (Bihar),Mashrakh_Benchapra_D (Bihar),Mashrakh_Benchapra_D (Bihar),Mashrakh,Bihar,False
2529,576111,Karkala_JodursteJ_D (Karnataka),Karkala_JodursteJ_D (Karnataka),Karkala_JodursteJ_D (Karnataka),Karkala,Karnataka,True
2530,680521,Chiramanangad_Akathiyor_D (Kerala),Chiramanangad_Akathiyor_D (Kerala),Chiramanangad_Akathiyor_D (Kerala),Chiramanangad,Kerala,True
2531,560040,Bangalore_SatelliteTwn_L (Karnataka),Bangalore_SatelliteTwn_L (Karnataka),Bangalore_SatelliteTwn_L (Karnataka),Bangalore,Karnataka,False
2532,827016,Bokaro_Chas_D (Jharkhand),Bokaro_Chas_D (Jharkhand),Bokaro_Chas_D (Jharkhand),Bokaro,Jharkhand,False
2533,628905,Perunali_Sayalkudi_D (Tamil Nadu),Perunali_Sayalkudi_D (Tamil Nadu),Perunali_Sayalkudi_D (Tamil Nadu),Perunali,Tamil Nadu,True
2534,221116,Aunrihar_Saidpur_D (Uttar Pradesh),Aunrihar_Saidpur_D (Uttar Pradesh),Aunrihar_Saidpur_D (Uttar Pradesh),Aunrihar,Uttar Pradesh,False
2535,384565,Vijapur_Anandpurachokdi_D (Gujarat),Vijapur_Anandpurachokdi_D (Gujarat),Vijapur_Anandpurachokdi_D (Gujarat),Vijapur,Gujarat,False
2536,515870,Uravakonda_GovtDegreeClg_D (Andhra Pradesh),Uravakonda_GovtDegreeClg_D (Andhra Pradesh),Uravakonda_GovtDegreeClg_D (Andhra Pradesh),Uravakonda,Andhra Pradesh,True
2537,382308,Ahmedabad_Odhavestate_L (Gujarat),Ahmedabad_Kanera_GW (Gujarat),Ahmedabad_Odhavestate_L (Gujarat),Ahmedabad,Gujarat,False
2538,177301,Nadaun_Bela_D (Himachal Pradesh),Nadaun_Bela_D (Himachal Pradesh),Nadaun_Bela_D (Himachal Pradesh),Nadaun,Himachal Pradesh,True
2539,384110,Patan_Hansapur_D (Gujarat),Patan_Hansapur_D (Gujarat),Patan_Hansapur_D (Gujarat),Patan,Gujarat,True
2540,388716,Godhra_Soniwada_D (Gujarat),Godhra_Soniwada_D (Gujarat),Godhra_Soniwada_D (Gujarat),Godhra,Gujarat,True
2541,382419,Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad,Gujarat,False
2542,492010,Raipur_Guma_H (Chhattisgarh),Raipur_Guma_H (Chhattisgarh),Raipur_Guma_R (Chhattisgarh),Raipur,Chhattisgarh,False
2543,765016,Kalyansingpur_Talabal_DPP (Orissa),Kalyansingpur_Talabal_DPP (Orissa),Kalyansingpur_Talabal_DPP (Orissa),Kalyansingpur,Orissa,True
2544,752002,Puri_Purussottamnagar_D (Orissa),Puri_Purussottamnagar_D (Orissa),Puri_Purussottamnagar_D (Orissa),Puri,Orissa,True
2545,470664,Hatta_NavodayaWard_D (Madhya Pradesh),Hatta_NavodayaWard_D (Madhya Pradesh),Hatta_NavodayaWard_D (Madhya Pradesh),Hatta,Madhya Pradesh,False
2546,454446,Manawar_MPEBOffice_DPP (Madhya Pradesh),Manawar_MPEBOffice_DPP (Madhya Pradesh),Manawar_MPEBOffice_DPP (Madhya Pradesh),Manawar,Madhya Pradesh,True
2547,394540,Surat_Kadodara1_L (Gujarat),Surat_Kacholi_GW (Gujarat),Surat_Kadodara1_L (Gujarat),Kadodara,Gujarat,True
2548,484446,Kotma_BaniyaTola_D (Madhya Pradesh),Kotma_BaniyaTola_D (Madhya Pradesh),Kotma_BaniyaTola_D (Madhya Pradesh),Kotma,Madhya Pradesh,True
2549,721421,Jhargram_Raghunathpur_DPP (West Bengal),Jhargram_Raghunathpur_DPP (West Bengal),Jhargram_Raghunathpur_DPP (West Bengal),Jhargram,West Bengal,True
2550,768039,Padampur_Jharbandh_DPP (Orissa),Padampur_Jharbandh_DPP (Orissa),Padampur_Jharbandh_DPP (Orissa),Padampur,Orissa,True
2551,754203,Cuttack_Bilteruan1_L (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),Cuttack_Bilteruan1_L (Orissa),Cuttack,Orissa,True
2552,400024,Mumbai_Chembur1_L (Maharashtra),Mumbai_Chembur1_L (Maharashtra),Mumbai_Chembur1_L (Maharashtra),Mumbai,Maharashtra,False
2553,781036,Guwahati_Betkuchi1_L (Assam),Guwahati_KaliPahar_GW (Assam),Guwahati_Betkuchi1_L (Assam),Guwahati,Assam,False
2554,563131,Mulbagal_Sunku_D (Karnataka),Mulbagal_Sunku_D (Karnataka),Mulbagal_Sunku_D (Karnataka),Mulbagal,Karnataka,True
2555,638054,Erode_BharathiNagar_L (Tamil Nadu),Erode_BharathiNagar_L (Tamil Nadu),Erode_BharathiNagar_L (Tamil Nadu),Erode,Tamil Nadu,True
2556,562159,Ramanagara_Ijoor_D (Karnataka),Ramanagara_Ijoor_D (Karnataka),Ramanagara_Ijoor_D (Karnataka),Ramanagara,Karnataka,True
2557,852218,Triveninganj_Ward16_D (Bihar),Triveninganj_Ward16_D (Bihar),Triveninganj_Ward16_D (Bihar),Triveninganj,Bihar,True
2558,411054,Pune_Bhamboli_L (Maharashtra),Pune_BhamboliMIDC_H (Maharashtra),Pune_Bhamboli_L (Maharashtra),Pune,Maharashtra,False
2559,416322,Islampur_KrushiBzr_D (Maharashtra),Islampur_KrushiBzr_D (Maharashtra),Islampur_KrushiBzr_D (Maharashtra),Islampur,Maharashtra,True
2560,732211,Malda_Tiakati_I (West Bengal),Malda_Tiakati_I (West Bengal),Malda_Tiakati_I (West Bengal),Malda,West Bengal,False
2561,571604,Krishnarajngr_Ward17_D (Karnataka),Krishnarajngr_Ward17_D (Karnataka),Krishnarajngr_Ward17_D (Karnataka),Krishnarajngr,Karnataka,True
2562,600120,Chennai_Vadaperumbakkam_L (Tamil Nadu),Chennai_Vadaperumbakkam_L (Tamil Nadu),Chennai_Vadaperumbakkam_L (Tamil Nadu),Chennai,Tamil Nadu,False
2563,614209,Kumbakonam_Melacavery_D (Tamil Nadu),Kumbakonam_Melacavery_D (Tamil Nadu),Kumbakonam_Melacavery_D (Tamil Nadu),Kumbakonam,Tamil Nadu,True
2564,847308,Benipatti_Ward15_D (Bihar),Benipatti_Ward15_D (Bihar),Benipatti_Ward15_D (Bihar),Benipatti,Bihar,False
2565,743165,Naihati_Rajendrapur_DPP (West Bengal),Naihati_Rajendrapur_DPP (West Bengal),Naihati_Rajendrapur_DPP (West Bengal),Naihati,West Bengal,False
2566,784104,Tezpur_Dipota_H (Assam),Tezpur_Dipota_H (Assam),Tezpur_Dipota_H (Assam),Tezpur,Assam,True
2567,846008,Darbhanga_Madhpur_I (Bihar),Darbhanga_Madhpur_I (Bihar),Darbhanga_Madhpur_I (Bihar),Darbhanga,Bihar,True
