,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
35,144424,Dasuya_Hajipur1_D (Punjab),Dasuya_Hajipur1_D (Punjab),Dasuya_Hajipur1_D (Punjab),Dasuya,Punjab,False
36,522035,Guntur_Kornepadu_I (Andhra Pradesh),Guntur_Kornepadu_I (Andhra Pradesh),Guntur_Kornepadu_I (Andhra Pradesh),Guntur,Andhra Pradesh,False
37,413718,Shrirampur_Ward5_D (Maharashtra),Shrirampur_Ward5_D (Maharashtra),Shrirampur_Ward5_D (Maharashtra),Shrirampur,Maharashtra,True
38,767040,Kantabanji_Sindhekela1_D (Orissa),Kantabanji_Sindhekela1_D (Orissa),Kantabanji_Sindhekela1_D (Orissa),Kantabanji,Orissa,True
39,670645,Mananthavady_Ward6_D (Kerala),Mananthavady_Ward6_D (Kerala),Mananthavady_Ward6_D (Kerala),Mananthavadi,Kerala,True
40,302025,Jaipur_SitapuraGoner_L (Rajasthan),Jaipur_SitapuraGoner_L (Rajasthan),Jaipur_SitapuraGoner_L (Rajasthan),Jaipur,Rajasthan,False
41,273413,Kauriram_Bhatas_DPP (Uttar Pradesh),Kauriram_Bhatas_DPP (Uttar Pradesh),Kauriram_Bhatas_DPP (Uttar Pradesh),Kauriram,Uttar Pradesh,True
42,680686,Irinjlkuda_Porathisery1_D (Kerala),Irinjlkuda_Porathisery1_D (Kerala),Irinjlkuda_Porathisery1_D (Kerala),Irinjalakuda,Kerala,True
43,122019,Gurgaon_Sector17_L (Haryana),Gurgaon_Sector17_L (Haryana),Gurgaon_Sector17_L (Haryana),Gurgaon,Haryana,False
44,679328,Edavanna_MNRd_D (Kerala),Edavanna_MNRd_D (Kerala),Edavanna_MNRd_D (Kerala),Edavanna,Kerala,True
45,752104,Bhubaneswar_Bampakhuda_GW (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),Bhubaneshwar,Orissa,True
46,815312,Giridih_Mahthadih_D (Jharkhand),Giridih_Mahthadih_D (Jharkhand),Giridih_Mahthadih_D (Jharkhand),Giridih,Jharkhand,True
47,627853,Ambasamudram_DRSColony_D (Tamil Nadu),Ambasamudram_DRSColony_D (Tamil Nadu),Ambasamudram_DRSColony_D (Tamil Nadu),Ambasamudram,Tamil Nadu,True
48,612701,Kumbakonam_Melacavery_D (Tamil Nadu),Kumbakonam_Melacavery_D (Tamil Nadu),Kumbakonam_Melacavery_D (Tamil Nadu),Kumbakonam,Tamil Nadu,True
49,201305,Noida_Sector67Bblock_L (Uttar Pradesh),Noida_Bairangpur_GW (Uttar Pradesh),Noida_Sector67Bblock_L (Uttar Pradesh),Noida,Uttar Pradesh,False
50,321201,Deeg_Rambag_D (Rajasthan),Deeg_Rambag_D (Rajasthan),Deeg_Rambag_D (Rajasthan),Deeg,Rajasthan,True
51,391421,Jambusar_Aabadnagar_D (Gujarat),Jambusar_Aabadnagar_D (Gujarat),Jambusar_Aabadnagar_D (Gujarat),Jambusar,Gujarat,True
52,611117,Nagapattinam_Kadambadi_D (Tamil Nadu),Nagapattinam_Kadambadi_D (Tamil Nadu),Nagapattinam_Kadambadi_D (Tamil Nadu),Nagapattinam,Tamil Nadu,True
53,122508,Hodal_Punhana1_D (Haryana),Hodal_Punhana1_D (Haryana),Hodal_Punhana1_D (Haryana),Hodal,Haryana,True
54,431743,Mahagaon_Umarkhed_D (Maharashtra),Mahagaon_Umarkhed_D (Maharashtra),Mahagaon_Umarkhed_D (Maharashtra),Mahagaon,Maharashtra,True
55,488442,Pawai_Bagrantola_D (Madhya Pradesh),Pawai_Bagrantola_D (Madhya Pradesh),Pawai_Bagrantola_D (Madhya Pradesh),Pawai,Madhya Pradesh,False
56,784510,Udalguri_SidhaKhawa_D (Assam),Udalguri_SidhaKhawa_D (Assam),Udalguri_SidhaKhawa_D (Assam),Udalguri,Assam,False
57,754102,Jagatsinghpur_Galupada_D (Orissa),Jagatsinghpur_Galupada_D (Orissa),Jagatsinghpur_Galupada_D (Orissa),Jagatsinghpur,Orissa,True
58,533210,Amalapuram_Ward12_D (Andhra Pradesh),Amalapuram_Ward12_D (Andhra Pradesh),Amalapuram_Ward12_D (Andhra Pradesh),Amalapuram,Andhra Pradesh,True
59,171202,Kotkhai_Nehra_D (Himachal Pradesh),Kotkhai_Nehra_D (Himachal Pradesh),Kotkhai_Nehra_D (Himachal Pradesh),Kotkhai,Himachal Pradesh,True
60,522341,Guntur_Gajulapalem_D (Andhra Pradesh),Guntur_Gajulapalem_D (Andhra Pradesh),Guntur_Gajulapalem_D (Andhra Pradesh),Guntur,Andhra Pradesh,True
61,688538,Alappuzha_Bernard_D (Kerala),Alappuzha_Bernard_D (Kerala),Alappuzha_Bernard_D (Kerala),Alappuzha,Kerala,False
62,804405,Makhdumpur_Nawabganj_D (Bihar),Makhdumpur_Nawabganj_D (Bihar),Makhdumpur_Nawabganj_D (Bihar),Makhdumpur,Bihar,True
63,515631,Anantapur_Narpala_D (Andhra Pradesh),Anantapur_Narpala_D (Andhra Pradesh),Anantapur_Narpala_D (Andhra Pradesh),Anantapur,Andhra Pradesh,True
64,110050,Delhi_KirtiNgrRamaRd_L (Delhi),Delhi_KirtiNgrRamaRd_L (Delhi),Delhi_KirtiNgrRamaRd_L (Delhi),Delhi,Delhi,False
65,847213,Madhubani_NidhiChowk_D (Bihar),Madhubani_NidhiChowk_D (Bihar),Madhubani_NidhiChowk_D (Bihar),Madhubani,Bihar,True
66,721638,Panskura_Central_D_3 (West Bengal),Panskura_Central_D_3 (West Bengal),Panskura_Central_D_3 (West Bengal),Panskura,West Bengal,False
67,583114,Siruguppa_SadashivNagar_D (Karnataka),Siruguppa_SadashivNagar_D (Karnataka),Siruguppa_SadashivNagar_D (Karnataka),Siruguppa,Karnataka,True
68,273405,Kauriram_Bhatas_DPP (Uttar Pradesh),Kauriram_Bhatas_DPP (Uttar Pradesh),Kauriram_Bhatas_DPP (Uttar Pradesh),Kauriram,Uttar Pradesh,True
69,562117,Kanakapura_Malagaalu_D (Karnataka),Kanakapura_Malagaalu_D (Karnataka),Kanakapura_Malagaalu_D (Karnataka),Kanakapura,Karnataka,True
70,177023,Hamirpur_Amman_DPP (Himachal Pradesh),Hamirpur_Amman_DPP (Himachal Pradesh),Hamirpur_Amman_DPP (Himachal Pradesh),Hamirpur,Himachal Pradesh,False
71,444501,Akola_Patur_DPP (Maharashtra),Akola_Patur_DPP (Maharashtra),Akola_Patur_DPP (Maharashtra),Akola,Maharashtra,True
72,783334,Dhubri_Golakganj_DPP (Assam),Dhubri_Golakganj_DPP (Assam),Dhubri_Golakganj_DPP (Assam),Dhubri,Assam,False
73,591129,Yaragatti_TilakChowk_DPP (Karnataka),Yaragatti_TilakChowk_DPP (Karnataka),Yaragatti_TilakChowk_DPP (Karnataka),Yaragatti,Karnataka,True
74,396436,Surat_GIDC1_P (Gujarat),Surat_Kacholi_GW (Gujarat),Surat_GIDC1_P (Gujarat),Surat,Gujarat,False
75,788832,Lumding_Langting_DPP (Assam),Lumding_Langting_DPP (Assam),Lumding_Langting_DPP (Assam),Lumding,Assam,False
76,441214,Umred_Narsala_D (Maharashtra),Umred_Narsala_D (Maharashtra),Umred_Narsala_D (Maharashtra),Umred,Maharashtra,True
77,611105,Thiruvarur_Pulivalam_D (Tamil Nadu),Thiruvarur_Pulivalam_D (Tamil Nadu),Thiruvarur_Pulivalam_D (Tamil Nadu),Thiruvarur,Tamil Nadu,True
78,148035,Patran_Kahangarh_D (Punjab),Patran_Kahangarh_D (Punjab),Patran_Kahangarh_D (Punjab),Patran,Punjab,True
79,203205,Sikandrabad_Khatriwara_D (Uttar Pradesh),Sikandrabad_Khatriwara_D (Uttar Pradesh),Sikandrabad_Khatriwara_D (Uttar Pradesh),Sikandrabad,Uttar Pradesh,False
80,765015,Tikiri_Ushpda_D (Orissa),Tikiri_Ushpda_D (Orissa),Tikiri_Ushpda_D (Orissa),Tikiri,Orissa,True
81,389110,Godhra_GaneshMuvadi_DPP (Gujarat),Godhra_GaneshMuvadi_DPP (Gujarat),Godhra_GaneshMuvadi_DPP (Gujarat),Godhra,Gujarat,False
82,700089,Kolkata_Kadapara_L (West Bengal),Kolkata_Kadapara_L (West Bengal),Kolkata_Kadapara_L (West Bengal),Kolkata,West Bengal,False
83,523166,Chirala_PeralaRd_D (Andhra Pradesh),Chirala_PeralaRd_D (Andhra Pradesh),Chirala_PeralaRd_D (Andhra Pradesh),Chirala,Andhra Pradesh,True
